Timestamp (ms),Timestamp,Speaker,Transcript,Showing （1/0）,Showing referent,Pointing (1/0),Pointing referent,Noun (1/0),Noun label 1,Noun label 2 ,Noun label 3,Noun label 4,Noun label 5,Pronoun (1/0),Pronoun label 1,Pronoun label 2,Pronoun label 3,Pronoun label 4,Pronoun label 5,Pronoun label 6,Pronoun label 7,1_Pronoun_determiner (1/0),2_Pronoun_replacement (1/0),Pronoun Referent 1,Pronoun Referent 2,Pronoun Referent 3,Pronoun referent 4,Pronoun referent 5,Pronoun referent 6,Pronoun referent 7,Noun & Pronoun in the same utterance (1/0),Whether refer to the same object (1/0),Type of Play,exclude,reason_for_exclusion,general comments,Nouns_Spacy,Pronoun_Spacy,,
1086334,00:18:06.334,m,is it your other pottty book?,0,,0,,1,potttybook,,,,,2,it,your,,,,,,1,1,pottybook2,pottybook2,,,,,,1,1,,,,,1,2,,
1208394,00:20:08.394,m,that's the last one,0,,0,,1,one,,,,,1,that,,,,,,,0,1,spotbook,,,,,,,1,1,,,,,0,1,,
1210468,00:20:10.468,m,what's this?,0,,2,holeymoleybook,0,,,,,,1,this,,,,,,,0,1,holeymoleybook,,,,,,,0,0,,,,,0,2,,
1211862,00:20:11.862,m,is that Holey Moley?,0,,0,,1,holeymoley,,,,,1,that,,,,,,,0,1,holeymoleybook,,,,,,,1,1,,,,,0,1,,
1214378,00:20:14.378,m,Holey Moley Cow,0,,0,,1,holeymoleycow,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,1,0,,
1238926,00:20:38.926,m,where you going?,0,,0,,0,,,,,,1,you,,,,,,,0,1,child,,,,,,,0,0,,,,,0,1,,
1240048,00:20:40.48,m,are you all done reading?,0,,0,,0,,,,,,1,you,,,,,,,0,1,child,,,,,,,0,0,,,,,1,2,,
1243040,00:20:43.40,m,oh bud,0,,0,,1,bud,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
1243278,00:20:43.278,m,you,0,,0,,0,,,,,,1,you,,,,,,,0,1,child,,,,,,,0,0,,,,,0,1,,
1243754,00:20:43.754,m,crusty eys,0,,0,,1,eys,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,1,0,,
1265412,00:21:05.412,m,you wanna read that book?,0,,0,,1,book,,,,,2,you,that,,,,,,1,1,child,book,,,,,,1,1,,,,,1,1,,
1266262,00:21:06.262,m,one second,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,1,0,,
1294210,00:21:34.210,m,Usher look at me,0,,0,,1,usher,,,,,1,me,,,,,,,0,1,mother,,,,,,,1,0,,,,,1,1,,
1300534,00:21:40.534,m,[sigh],0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
1333004,00:22:13.4,m,can I see you?,0,,0,,0,,,,,,2,i,you,,,,,,0,2,mother,child,,,,,,0,0,,,,,0,2,,
1338512,00:22:18.512,m,Holey Moley we could finish it,0,,0,,1,holeymoley,,,,,2,we,it,,,,,,0,2,motherandchild,holeymoleybook,,,,,,1,1,,,,,0,2,,
1341504,00:22:21.504,m,oh man that's not good,0,,0,,0,,,,,,1,that,,,,,,,0,1,childscrustyeyes,,,,,,,0,0,,,,,1,1,,
1345788,00:22:25.788,m,you okay?,0,,0,,0,,,,,,1,you,,,,,,,0,1,child,,,,,,,0,0,,,,,0,1,,
1357654,00:22:37.654,m,it's a book of babies,1,babiesbook,0,,2,book,babies,,,,1,it,,,,,,,0,1,babiesbook,,,,,,,1,1,,,,,2,1,,
1364828,00:22:44.828,m,what?,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,1,,
1370064,00:22:50.64,m,I don't know what you're talking about,0,,0,,0,,,,,,2,i,you,,,,,,0,2,mother,child,,,,,,0,0,,,,,0,3,,
1372784,00:22:52.784,m,ala,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
1374620,00:22:54.620,m,all?,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,1,,
1376592,00:22:56.592,m,Holey Moley?,0,,0,,1,holeymoley,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
1382882,00:23:02.882,m,you want this book,1,bluebook,0,,1,book,,,,,2,you,this,,,,,,1,1,child,bluebook,,,,,,1,1,,,,,1,1,,
1384820,00:23:04.820,m,then you have to come sit down,0,,0,,0,,,,,,1,you,,,,,,,0,1,child,,,,,,,0,0,,,,,0,1,,
1386078,00:23:06.78,m,I'm not gonna read it to you as you run around,0,,0,,0,,,,,,4,i,it,you,you,,,,0,4,mother,bluebook,child,child,,,,0,0,,,,,0,4,,
1441872,00:24:01.872,m,can I see,0,,0,,0,,,,,,1,i,,,,,,,0,1,mother,,,,,,,0,0,,,,,0,1,,
1442858,00:24:02.858,m,your eye xxx,0,,0,,1,eye,,,,,1,your,,,,,,,1,0,childseye,,,,,,,1,1,,,,,1,1,,
1443708,00:24:03.708,m,please?,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
1454622,00:24:14.622,m,I know,0,,0,,0,,,,,,1,i,,,,,,,0,1,mother,,,,,,,0,0,,,,,0,1,,
1455016,00:24:15.16,m,I know,0,,0,,0,,,,,,1,i,,,,,,,0,1,mother,,,,,,,0,0,,,,,0,1,,
1455608,00:24:15.608,m,but please,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
1466964,00:24:26.964,m,are you okay?,0,,0,,0,,,,,,1,you,,,,,,,0,1,child,,,,,,,0,0,,,,,0,1,,
1471044,00:24:31.44,m,you want me to read the book?,0,,0,,1,book,,,,,2,you,me,,,,,,0,2,child,mother,,,,,,1,0,,,,,1,2,,
1477498,00:24:37.498,m,hmm no,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
1482468,00:24:42.468,m,ah,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
