Timestamp (ms),Timestamp,Speaker,Transcript,Showing（1/0）,Showing referent,Pointing (1/0),Pointing referent,Noun (1/0),Noun label 1,Noun label 2 ,Noun label 3,Noun label 4,Noun label 5,Pronoun (1/0),Pronoun label 1,Pronoun label 2,Pronoun label 3,Pronoun label 4,Pronoun label 5,Pronoun label 6,Pronoun label 7,1_Pronoun_determiner (1/0),2_Pronoun_replacement (1/0),Pronoun Referent 1,Pronoun Referent 2,Pronoun Referent 3,Pronoun referent 4,Pronoun referent 5,Pronoun referent 6,Pronoun referent 7,Noun & Pronoun in the same utterance (1/0),Whether refer to the same object (1/0),Type of Play,exclude,reason_for_exclusion,general comments,Nouns_Spacy,Pronoun_Spacy,,
174386,00:02:54.386,m,you want to take them off?,0,,0,,0,,,,,,2,you,them,,,,,,0,2,child,pajamas,,,,,,0,0,,,,,0,2,,
176664,00:02:56.664,m,do you want to eat?,0,,0,,0,,,,,,1,you,,,,,,,0,1,child,,,,,,,0,0,,,,,0,1,,
178772,00:02:58.772,m,are you gonna jump?,0,,0,,0,,,,,,1,you,,,,,,,0,1,child,,,,,,,0,0,,,,,0,1,,
181050,00:03:01.50,m,jump,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
181832,00:03:01.832,m,jump,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
182648,00:03:02.648,m,jump,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
183328,00:03:03.328,m,jump,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
185912,00:03:05.912,m,ready?,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
186524,00:03:06.524,m,want to take your PJs off?,0,,0,,1,pjs,,,,,1,your,,,,,,,1,0,pajamas,,,,,,,1,1,,,,,1,1,,
189210,00:03:09.210,m,are you wearing to keep them on?,0,,0,,0,,,,,,2,you,them,,,,,,0,2,child,pajamas,,,,,,0,0,,,,,0,2,,
191998,00:03:11.998,m,or you want me to hold this?,0,,0,,0,,,,,,3,you,me,this,,,,,0,3,child,mother,pajamas,,,,,0,0,,,,,0,3,,
194446,00:03:14.446,m,okay,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
195398,00:03:15.398,m,you are gonna take your pajamas off all by yourself?,0,,0,,1,pajamas,,,,,3,you,your,yourself,,,,,1,2,child,pajamas,child,,,,,1,1,,,,,1,4,,
200974,00:03:20.974,m,you are wearing,0,,0,,0,,,,,,1,you,,,,,,,0,1,child,,,,,,,0,0,,,,,0,1,,
202164,00:03:22.164,m,you are doing on the grab,0,,0,,0,,,,,,1,you,,,,,,,0,1,child,,,,,,,0,0,,,,,1,1,,
202232,00:03:22.232,m,wow,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
203456,00:03:23.456,m,here,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
203694,00:03:23.694,m,let's sit down and do it,0,,0,,0,,,,,,1,it,,,,,,,0,1,pajamas,,,,,,,0,0,,,,,0,2,,
