Timestamp (ms),Timestamp,Speaker,Transcript,Noun (1/0),Noun label 1,Noun label 2 ,Noun label 3,Noun label 4,Noun label 5,Pronoun (1/0),Pronoun label 1,Pronoun label 2,Pronoun label 3,Pronoun label 4,Pronoun label 5,Pronoun label 6,Pronoun label 7,Nouns_Spacy,Pronoun_Spacy,,
1837054,00:30:37.54,m,circle,1,circle,,,,,0,,,,,,,,0,0,,
1842664,00:30:42.664,m,red,1,red,,,,,0,,,,,,,,0,0,,
1848342,00:30:48.342,m,pink,1,pink,,,,,0,,,,,,,,0,0,,
1850416,00:30:50.416,m,yellow,1,yellow,,,,,0,,,,,,,,0,0,,
1859256,00:30:59.256,m,thank you,0,,,,,,0,,,,,,,,0,1,,
1869422,00:31:09.422,m,dance dance dance,1,dance,,,,,0,,,,,,,,3,0,,
1872550,00:31:12.550,m,purple,1,purple,,,,,0,,,,,,,,1,0,,
1882240,00:31:22.240,m,yeah,0,,,,,,0,,,,,,,,0,0,,
1882648,00:31:22.648,m,ball,1,ball,,,,,0,,,,,,,,1,0,,
1882886,00:31:22.886,m,soccer,1,soccer,,,,,0,,,,,,,,1,0,,
1896384,00:31:36.384,m,what are you doing?,0,,,,,,1,you,,,,,,,0,2,,
1905224,00:31:45.224,m,green,1,green,,,,,0,,,,,,,,0,0,,
1935960,00:32:15.960,m,what?,0,,,,,,0,,,,,,,,0,1,,
1937864,00:32:17.864,m,what?,0,,,,,,0,,,,,,,,0,1,,
1947588,00:32:27.588,m,thank you,0,,,,,,0,,,,,,,,0,1,,
1949628,00:32:29.628,m,stop,0,,,,,,0,,,,,,,,0,0,,
1958400,00:32:38.400,m,gray,1,gray,,,,,0,,,,,,,,0,0,,
1960304,00:32:40.304,m,orange,1,orange,,,,,0,,,,,,,,0,0,,
2010488,00:33:30.488,m,what?,0,,,,,,0,,,,,,,,0,1,,
2017322,00:33:37.322,m,dah,0,,,,,,0,,,,,,,,0,0,,
2024156,00:33:44.156,m,[inhaling sounds],0,,,,,,0,,,,,,,,0,0,,
2027487,00:33:47.487,m,dah,0,,,,,,0,,,,,,,,0,0,,
2032350,00:33:52.350,m,don't color me,0,,,,,,1,me,,,,,,,0,1,,
2033676,00:33:53.676,m,only book,1,book,,,,,0,,,,,,,,1,0,,
2034764,00:33:54.764,m,[inhaling sounds],0,,,,,,0,,,,,,,,0,0,,
2035546,00:33:55.546,m,uhuh dude,1,dude,,,,,0,,,,,,,,0,0,,
2038436,00:33:58.436,m,okay,0,,,,,,0,,,,,,,,0,0,,
2038572,00:33:58.572,m,I have to clean this one,1,one,,,,,2,i,this,,,,,,1,1,,
2042686,00:34:02.686,m,huh,0,,,,,,0,,,,,,,,0,0,,
2044046,00:34:04.46,m,no it's yucky,0,,,,,,1,it,,,,,,,0,1,,
2045984,00:34:05.984,m,it's yucky,0,,,,,,1,it,,,,,,,0,1,,
2046800,00:34:06.800,m,it went into coffee,1,coffee,,,,,1,it,,,,,,,1,1,,
2059992,00:34:19.992,m,say thank you,0,,,,,,0,,,,,,,,0,1,,
2061930,00:34:21.930,m,say thank you,0,,,,,,0,,,,,,,,0,1,,
2064514,00:34:24.514,m,you are welcome,0,,,,,,1,you,,,,,,,0,1,,
2069478,00:34:29.478,m,don't color your bear either,1,bear,,,,,1,your,,,,,,,1,1,,
2073218,00:34:33.218,m,do you want oat meal?,1,oatmeal,,,,,1,you,,,,,,,2,1,,
2075904,00:34:35.904,m,can you take a bite please?,1,bite,,,,,1,you,,,,,,,1,1,,
2080698,00:34:40.698,m,come here,0,,,,,,0,,,,,,,,0,0,,
2087022,00:34:47.22,m,ohuh,0,,,,,,0,,,,,,,,0,0,,
2089334,00:34:49.334,m,yeah,0,,,,,,0,,,,,,,,0,0,,
2090592,00:34:50.592,m,thank you,0,,,,,,0,,,,,,,,0,1,,
2106436,00:35:06.436,m,where is my belly button,1,bellybutton,,,,,1,my,,,,,,,2,1,,
2109496,00:35:09.496,m,where are my eyes,1,eyes,,,,,1,my,,,,,,,1,1,,
2111128,00:35:11.128,m,[inhaling sounds],0,,,,,,0,,,,,,,,0,0,,
2111978,00:35:11.978,m,under my hat,1,hat,,,,,1,my,,,,,,,1,1,,
2115990,00:35:15.990,m,where is my mouth,1,mouth,,,,,1,my,,,,,,,1,1,,
2117350,00:35:17.350,m,[inhaling sounds],0,,,,,,0,,,,,,,,0,0,,
2117724,00:35:17.724,m,behind my cup,1,cup,,,,,1,my,,,,,,,1,1,,
2122346,00:35:22.346,m,where is my belly button,1,bellybutton,,,,,1,my,,,,,,,2,1,,
2125510,00:35:25.510,m,go ahead,0,,,,,,0,,,,,,,,0,0,,
2128366,00:35:28.366,m,under my shirt,1,shirt,,,,,1,my,,,,,,,1,1,,
2132208,00:35:32.208,m,where are my feet,1,feet,,,,,1,my,,,,,,,1,1,,
2133364,00:35:33.364,m,right here,0,,,,,,0,,,,,,,,0,0,,
2135982,00:35:35.982,m,yeah,0,,,,,,0,,,,,,,,0,0,,
2136866,00:35:36.866,m,behind the cat,1,cat,,,,,0,,,,,,,,1,0,,
2140912,00:35:40.912,m,where are my hands?,1,hands,,,,,1,my,,,,,,,1,1,,
2145468,00:35:45.468,m,under the,0,,,,,,0,,,,,,,,0,1,,
2147882,00:35:47.882,m,bubbles,1,bubbles,,,,,0,,,,,,,,0,0,,
2148868,00:35:48.868,m,where is your hand?,1,hand,,,,,1,your,,,,,,,1,1,,
2150772,00:35:50.772,m,good job,0,,,,,,0,,,,,,,,1,0,,
2153526,00:35:53.526,m,where is baby?,1,baby,,,,,0,,,,,,,,1,0,,
2155328,00:35:55.328,m,the bottom,1,bottom,,,,,0,,,,,,,,1,0,,
2157742,00:35:57.742,m,the bottom,1,bottom,,,,,0,,,,,,,,1,0,,
2159102,00:35:59.102,m,there he is,0,,,,,,1,he,,,,,,,0,1,,
2160836,00:36:00.836,m,tickle tickle tickle,0,,,,,,0,,,,,,,,1,0,,
2163556,00:36:03.556,m,tickle tickle tickle,0,,,,,,0,,,,,,,,1,0,,
2165766,00:36:05.766,m,the end,1,end,,,,,0,,,,,,,,1,0,,
2167228,00:36:07.228,m,good book,1,book,,,,,0,,,,,,,,1,0,,
2169234,00:36:09.234,m,could you get another bite?,1,bite,,,,,1,you,,,,,,,1,1,,
2174402,00:36:14.402,m,thank you,0,,,,,,0,,,,,,,,0,1,,
2229652,00:37:09.652,m,Mac look,1,mac,,,,,0,,,,,,,,2,0,,
2230094,00:37:10.94,m,Mxx,0,,,,,,0,,,,,,,,0,0,,
2232338,00:37:12.338,m,yeah the Mxx,0,,,,,,0,,,,,,,,0,0,,
2233494,00:37:13.494,m,come here,0,,,,,,0,,,,,,,,0,0,,
2233664,00:37:13.664,m,I will read you here,0,,,,,,2,i,you,,,,,,0,2,,
2237812,00:37:17.812,m,be careful,0,,,,,,0,,,,,,,,0,0,,
2240090,00:37:20.90,m,come sit,0,,,,,,0,,,,,,,,0,0,,
2247468,00:37:27.468,m,ready,0,,,,,,0,,,,,,,,0,0,,
2464932,00:41:04.932,m,do you want to get another book?,1,book,,,,,1,you,,,,,,,1,1,,
2466870,00:41:06.870,m,another book?,1,book,,,,,0,,,,,,,,1,0,,
2467142,00:41:07.142,m,can you put this one away?,1,one,,,,,2,you,this,,,,,,1,1,,
2469522,00:41:09.522,m,no?,0,,,,,,0,,,,,,,,0,0,,
2471630,00:41:11.630,m,oat meal?,1,oatmeal,,,,,0,,,,,,,,2,0,,
2472514,00:41:12.514,m,say please,0,,,,,,0,,,,,,,,0,0,,
2476288,00:41:16.288,m,here,0,,,,,,0,,,,,,,,0,0,,
2477070,00:41:17.70,m,big bite,1,bite,,,,,0,,,,,,,,1,0,,
2479382,00:41:19.382,m,xxx,0,,,,,,0,,,,,,,,0,0,,
2543914,00:42:23.914,m,we read this one,1,one,,,,,2,we,this,,,,,,1,1,,
2546464,00:42:26.464,m,come sit,0,,,,,,0,,,,,,,,0,0,,
2646322,00:44:06.322,m,you want a bite?,1,bite,,,,,1,you,,,,,,,1,1,,
2648294,00:44:08.294,m,here,0,,,,,,0,,,,,,,,0,0,,
2653870,00:44:13.870,m,um,0,,,,,,0,,,,,,,,0,0,,
2655842,00:44:15.842,m,hmm,0,,,,,,0,,,,,,,,0,0,,
2728568,00:45:28.568,m,a bite?,1,bite,,,,,0,,,,,,,,1,0,,
2866812,00:47:46.812,m,a bite?,1,bite,,,,,0,,,,,,,,1,0,,
2877692,00:47:57.692,m,here Mac,1,mac,,,,,0,,,,,,,,0,0,,
2878338,00:47:58.338,m,why don't we put crayons in the bag,2,crayons,bag,,,,1,we,,,,,,,2,1,,
2880616,00:48:00.616,m,can I have the bag please?,1,bag,,,,,1,i,,,,,,,1,1,,
2882554,00:48:02.554,m,the bag,1,bag,,,,,0,,,,,,,,1,0,,
2884458,00:48:04.458,m,bag,1,bag,,,,,0,,,,,,,,1,0,,
2886668,00:48:06.668,m,not belly,1,belly,,,,,0,,,,,,,,0,0,,
2887484,00:48:07.484,m,bag,1,bag,,,,,0,,,,,,,,1,0,,
2888368,00:48:08.368,m,hey,0,,,,,,0,,,,,,,,0,0,,
2890782,00:48:10.782,m,clean up,0,,,,,,0,,,,,,,,0,0,,
2891496,00:48:11.496,m,clean up,0,,,,,,0,,,,,,,,0,0,,
2894080,00:48:14.80,m,no?,0,,,,,,0,,,,,,,,0,0,,
2897990,00:48:17.990,m,that was nice,0,,,,,,1,that,,,,,,,0,1,,
2899044,00:48:19.44,m,thanks,0,,,,,,0,,,,,,,,1,0,,
2901832,00:48:21.832,m,actually you are not,0,,,,,,1,you,,,,,,,0,1,,
2903090,00:48:23.90,m,give me those,0,,,,,,2,me,those,,,,,,0,2,,
2907272,00:48:27.272,m,not with the crayons,1,crayons,,,,,0,,,,,,,,1,0,,
2908938,00:48:28.938,m,if you could be trusted,0,,,,,,1,you,,,,,,,0,1,,
2912100,00:48:32.100,m,don't play with that out there,0,,,,,,1,that,,,,,,,0,1,,
2913460,00:48:33.460,m,thank you,0,,,,,,0,,,,,,,,0,1,,
2915636,00:48:35.636,m,I have other xx,0,,,,,,1,i,,,,,,,0,1,,
2921416,00:48:41.416,m,Mac you can play with them,1,mac,,,,,2,you,them,,,,,,1,2,,
2922980,00:48:42.980,m,only at here,0,,,,,,0,,,,,,,,0,0,,
2925700,00:48:45.700,m,play here with them,0,,,,,,1,them,,,,,,,0,1,,
2927434,00:48:47.434,m,okay?,0,,,,,,0,,,,,,,,0,0,,
2932194,00:48:52.194,m,thank you,0,,,,,,0,,,,,,,,0,1,,
2937532,00:48:57.532,m,your boggie on your hand bud,3,boogie,hand,bud,,,2,your,your,,,,,,3,2,,
2938620,00:48:58.620,m,come here,0,,,,,,0,,,,,,,,0,0,,
