Timestamp (ms),Timestamp,Speaker,Transcript,Noun (1/0),Noun label 1,Noun label 2 ,Noun label 3,Noun label 4,Pronoun (1/0),Pronoun label 1,Pronoun label 2,Pronoun label 3,Pronoun label 4
426666,00:07:06.666,m,okay,0,,,,,0,,,,
429114,00:07:09.114,m,do you want to play the with the,0,,,,,1,you,,,
430712,00:07:10.712,m,you want to play with your Lego pieces?,1,legopieces,,,,2,you,your,,
434214,00:07:14.214,m,no not bubbles,1,bubbles,,,,0,,,,
435200,00:07:15.200,m,that's not bubbles,1,bubbles,,,,1,that,,,
437886,00:07:17.886,m,let's go play with your Lego pieces,1,legopieces,,,,1,your,,,
439450,00:07:19.450,m,come on,0,,,,,0,,,,
441592,00:07:21.592,m,you like to build some,0,,,,,1,you,,,
446828,00:07:26.828,m,oh no,0,,,,,0,,,,
447848,00:07:27.848,m,you are coughing,0,,,,,1,you,,,
449480,00:07:29.480,m,okay ready?,0,,,,,0,,,,
450568,00:07:30.568,m,let's go build some fun stuffs,1,stuffs,,,,0,,,,
452574,00:07:32.574,m,where you are?,0,,,,,1,you,,,
457470,00:07:37.470,m,uhoh,0,,,,,0,,,,
459646,00:07:39.646,m,okay,0,,,,,0,,,,
465664,00:07:45.664,m,please,0,,,,,0,,,,
472770,00:07:52.770,m,yeah,0,,,,,0,,,,
475048,00:07:55.48,m,[laughing],0,,,,,0,,,,
476986,00:07:56.986,m,alright,0,,,,,0,,,,
477836,00:07:57.836,m,let's go build something fun,0,,,,,0,,,,
478924,00:07:58.924,m,okay?,0,,,,,0,,,,
479332,00:07:59.332,m,we are going to go build like a big tower,1,tower,,,,1,we,,,
481576,00:08:01.576,m,okay?,0,,,,,0,,,,
483854,00:08:03.854,m,come on,0,,,,,0,,,,
485078,00:08:05.78,m,alright,0,,,,,0,,,,
485418,00:08:05.418,m,let's build some pieces,1,pieces,,,,0,,,,
487152,00:08:07.152,m,let's build,0,,,,,0,,,,
487730,00:08:07.730,m,like a,0,,,,,0,,,,
489260,00:08:09.260,m,I want to build like a fort or something?,1,fort,,,,1,i,,,
492830,00:08:12.830,m,yeah,0,,,,,0,,,,
495278,00:08:15.278,m,let's build something cool,0,,,,,0,,,,
501364,00:08:21.364,m,hmm?,0,,,,,0,,,,
509388,00:08:29.388,m,alright,0,,,,,0,,,,
510102,00:08:30.102,m,look,0,,,,,0,,,,
510442,00:08:30.442,m,check this out,0,,,,,1,this,,,
510952,00:08:30.952,m,seems like so much fun,0,,,,,0,,,,
512686,00:08:32.686,m,pretty awesome,0,,,,,0,,,,
514148,00:08:34.148,m,oh good job,0,,,,,0,,,,
515168,00:08:35.168,m,that's good,0,,,,,1,that,,,
516086,00:08:36.86,m,it's nice,0,,,,,1,it,,,
521934,00:08:41.934,m,whoah,0,,,,,0,,,,
522784,00:08:42.784,m,good,0,,,,,0,,,,
524518,00:08:44.518,m,alright,0,,,,,0,,,,
525130,00:08:45.130,m,let's leave it like that,0,,,,,2,it,that,,
528462,00:08:48.462,m,hmm,0,,,,,0,,,,
530026,00:08:50.26,m,good choice,1,choice,,,,0,,,,
533358,00:08:53.358,m,okay,0,,,,,0,,,,
546550,00:09:06.550,m,[humming],0,,,,,0,,,,
553588,00:09:13.588,m,look,0,,,,,0,,,,
554268,00:09:14.268,m,that was xxx,0,,,,,1,that,,,
559232,00:09:19.232,m,this is a great fort,1,fort,,,,1,this,,,
559946,00:09:19.946,m,look at this,0,,,,,1,this,,,
561850,00:09:21.850,m,xxx,0,,,,,0,,,,
562190,00:09:22.190,m,xxx,0,,,,,0,,,,
563380,00:09:23.380,m,I don't know,0,,,,,1,i,,,
566032,00:09:26.32,m,I don't know,0,,,,,1,i,,,
566644,00:09:26.644,m,I don't know,0,,,,,1,i,,,
567154,00:09:27.154,m,wait this is like,0,,,,,1,this,,,
568276,00:09:28.276,m,this is,0,,,,,1,this,,,
568922,00:09:28.922,m,xxx,0,,,,,0,,,,
570894,00:09:30.894,m,alright,0,,,,,0,,,,
573410,00:09:33.410,m,let's get everything closer,0,,,,,0,,,,
578510,00:09:38.510,m,oh,0,,,,,0,,,,
579020,00:09:39.20,m,good job,0,,,,,0,,,,
579564,00:09:39.564,m,that looks great,0,,,,,1,that,,,
581230,00:09:41.230,m,xxx,0,,,,,0,,,,
583032,00:09:43.32,m,oh wow,0,,,,,0,,,,
586194,00:09:46.194,m,it's like a little city,1,city,,,,1,it,,,
591192,00:09:51.192,m,[humming],0,,,,,0,,,,
598060,00:09:58.60,m,[gasping],0,,,,,0,,,,
606492,00:10:06.492,m,here,0,,,,,0,,,,
614380,00:10:14.380,m,[laughing],0,,,,,0,,,,
617916,00:10:17.916,m,what are those?,0,,,,,1,those,,,
619310,00:10:19.310,m,here,0,,,,,0,,,,
619820,00:10:19.820,m,put this right here,0,,,,,1,this,,,
621418,00:10:21.418,m,you don't want to play with it anymore?,0,,,,,2,you,it,,
624648,00:10:24.648,m,it's okay,0,,,,,0,,,,
650284,00:10:50.284,m,are you hungry?,0,,,,,1,you,,,
653820,00:10:53.820,m,hmm?,0,,,,,0,,,,
655962,00:10:55.962,m,I am going to go make some lunch,1,lunch,,,,1,i,,,
749870,00:12:29.870,m,oh good job,0,,,,,0,,,,
750958,00:12:30.958,m,here you want to xxx something?,0,,,,,1,you,,,
762586,00:12:42.586,m,it's a little snack okay?,1,snack,,,,1,it,,,
765986,00:12:45.986,m,you want some cheese?,1,cheese,,,,1,you,,,
768332,00:12:48.332,m,yeah?,0,,,,,0,,,,
770950,00:12:50.950,m,hmm,0,,,,,0,,,,
775472,00:12:55.472,m,here are some cheese okay?,1,cheese,,,,0,,,,
777682,00:12:57.682,m,in case you want some,0,,,,,1,you,,,
779382,00:12:59.382,m,do you want some cheese?,1,cheese,,,,1,you,,,
781014,00:13:01.14,m,here you go,0,,,,,1,you,,,
792030,00:13:12.30,m,no?,0,,,,,0,,,,
794172,00:13:14.172,m,you want xxx?,0,,,,,1,you,,,
