Timestamp (ms),Timestamp,Speaker,Transcript,Noun (1/0),Noun label 1,Noun label 2 ,Noun label 3,Noun label 4,Pronoun (1/0),Pronoun label 1,Pronoun label 2,Pronoun label 3,Pronoun label 4,Nouns_Spacy,Pronoun_Spacy,,
292992,00:04:52.992,m,come here baby love lets do the sheep,3,baby,love,sheep,,0,,,,,0,0,,
297398,,c,b,,,,,,,,,,,,,,
298690,00:04:58.690,m,yeah is it the lion?,1,lion,,,,1,it,,,,0,1,,
301376,00:05:01.376,m,no,0,,,,,0,,,,,0,2,,
302124,00:05:02.124,m,this isn't a lion lovey this is the bunny,3,lion,lovey,bunny,,2,this,this,,,0,0,,
304617,00:05:04.617,m,that's the bunny,1,bunny,,,,1,that,,,,0,0,,
305971,,c,b,,,,,,,,,,,,,,
306612,00:05:06.612,m,bunny,1,bunny,,,,0,,,,,0,0,,
307955,00:05:07.955,m,bunny rabbit,2,bunny,rabbit,,,0,,,,,1,0,,
309408,00:05:09.408,m,here we go,0,,,,,1,we,,,,0,0,,
309604,,c,c,,,,,,,,,,,,,,
310760,00:05:10.760,m,whoo,0,,,,,0,,,,,1,0,,
314129,00:05:14.129,m,very good,0,,,,,0,,,,,0,2,,
315238,00:05:15.238,m,press down,0,,,,,0,,,,,0,0,,
316948,00:05:16.948,m,yay,0,,,,,0,,,,,0,0,,
318172,00:05:18.172,m,look,0,,,,,0,,,,,1,2,,
318784,00:05:18.784,m,sheep,1,sheep,,,,0,,,,,0,0,,
320382,00:05:20.382,m,do you know how we spell sheep?,1,sheep,,,,1,we,,,,0,0,,
323340,,c,no,,,,,,,,,,,,,,
323450,00:05:23.450,m,sheep,1,sheep,,,,0,,,,,1,2,,
324802,,c,no,,,,,,,,,,,,,,
325470,00:05:25.470,m,no?,0,,,,,0,,,,,0,2,,
326728,00:05:26.728,m,which one do you want now?,1,one,,,,1,you,,,,0,1,,
329618,00:05:29.618,m,huh?,0,,,,,0,,,,,1,2,,
331307,,c,this one,,,,,,,,,,,,,,
332194,00:05:32.194,m,that,0,,,,,1,that,,,,1,1,,
332778,00:05:32.778,m,what is that?,0,,,,,1,that,,,,1,0,,
334721,00:05:34.721,m,that is,0,,,,,1,that,,,,0,0,,
335968,00:05:35.968,m,no you wanna do it yourself?,0,,,,,3,you,it,yourself,,1,1,,
337110,00:05:37.110,m,go,0,,,,,0,,,,,0,0,,
338143,00:05:38.143,m,go lovey,1,lovey,,,,0,,,,,1,1,,
339966,00:05:39.966,m,I can't see,0,,,,,1,i,,,,1,0,,
341299,00:05:41.299,m,I think that's a tiger,1,tiger,,,,2,i,that,,,1,0,,
343115,00:05:43.115,m,or a cat,1,cat,,,,0,,,,,0,1,,
344805,00:05:44.805,m,it's a cat,1,cat,,,,1,it,,,,1,1,,
346364,00:05:46.364,m,meow,0,,,,,0,,,,,0,0,,
348568,00:05:48.568,m,meow,0,,,,,0,,,,,1,0,,
349395,,c,b,,,,,,,,,,,,,,
350914,,c,go,,,,,,,,,,,,,,
352201,00:05:52.201,m,xxx,0,,,,,0,,,,,0,1,,
352201,,c,garbage,,,,,,,,,,,,,,
353989,00:05:53.989,m,garbage,1,garbage,,,,0,,,,,0,1,,
354773,00:05:54.773,m,are you gonna take it to the garbage?,1,garbage,,,,2,you,it,,,4,0,,
356119,00:05:56.119,m,oh boy,0,,,,,0,,,,,0,0,,
356864,00:05:56.864,m,ooh watch it lovey,1,lovey,,,,1,it,,,,1,1,,
359346,00:05:59.346,m,you going to fill me up going to the garbage?,1,garbage,,,,2,you,me,,,0,0,,
361454,00:06:01.454,m,alright,0,,,,,0,,,,,3,2,,
361692,,c,garbage,,,,,,,,,,,,,,
365814,,c,garbage,,,,,,,,,,,,,,
368322,,c,b,,,,,,,,,,,,,,
382636,,c,b,,,,,,,,,,,,,,
386318,00:06:26.318,m,oh wrong side,1,side,,,,0,,,,,1,1,,
388199,00:06:28.199,m,wrong side,1,side,,,,0,,,,,0,0,,
389604,00:06:29.604,m,you press down hard,0,,,,,1,you,,,,1,0,,
390864,00:06:30.864,m,press down hard,0,,,,,0,,,,,2,0,,
392462,00:06:32.462,m,and,0,,,,,0,,,,,0,1,,
394468,00:06:34.468,m,we can washy afterwards,0,,,,,1,we,,,,1,0,,
